league_id,league_name,season_id,season,game_id,gamedate,team_id,team_name,goals,penalty,result
9,Premier League,333,2016-2017,75961,2017-01-01 11:00:00.000,2139,Crystal Palace,0,NULL,0
9,Premier League,333,2016-2017,75961,2017-01-01 11:00:00.000,569,Arsenal,2,NULL,1
9,Premier League,333,2016-2017,75970,2017-01-01 08:30:00.000,564,Tottenham,4,NULL,1
9,Premier League,333,2016-2017,75970,2017-01-01 08:30:00.000,2275,Watford,1,NULL,0
9,Premier League,333,2016-2017,75971,2017-01-03 14:45:00.000,569,Arsenal,3,NULL,2
9,Premier League,333,2016-2017,75971,2017-01-03 14:45:00.000,2276,AFC Bournemouth,3,NULL,2
9,Premier League,333,2016-2017,75972,2017-01-03 15:00:00.000,675,Swansea,2,NULL,1
9,Premier League,333,2016-2017,75972,2017-01-03 15:00:00.000,2139,Crystal Palace,1,NULL,0
9,Premier League,333,2016-2017,75973,2017-01-02 10:00:00.000,2108,Southampton,0,NULL,0
9,Premier League,333,2016-2017,75973,2017-01-02 10:00:00.000,568,Everton,3,NULL,1
9,Premier League,333,2016-2017,75974,2017-01-02 10:00:00.000,2199,Burnley,1,NULL,0
9,Premier League,333,2016-2017,75974,2017-01-02 10:00:00.000,573,Manchester City,2,NULL,1
9,Premier League,333,2016-2017,75975,2017-01-03 15:00:00.000,2275,Watford,0,NULL,0
9,Premier League,333,2016-2017,75975,2017-01-03 15:00:00.000,578,Stoke,2,NULL,1
9,Premier League,333,2016-2017,75976,2017-01-02 10:00:00.000,565,Liverpool,2,NULL,2
9,Premier League,333,2016-2017,75976,2017-01-02 10:00:00.000,575,Sunderland,2,NULL,2
9,Premier League,333,2016-2017,75977,2017-01-04 15:00:00.000,580,Chelsea,0,NULL,0
9,Premier League,333,2016-2017,75977,2017-01-04 15:00:00.000,564,Tottenham,2,NULL,1
9,Premier League,333,2016-2017,75978,2017-01-02 10:00:00.000,2138,Hull City,1,NULL,0
9,Premier League,333,2016-2017,75978,2017-01-02 10:00:00.000,665,West Bromwich,3,NULL,1
9,Premier League,333,2016-2017,75979,2017-01-02 12:15:00.000,562,Manchester United,2,NULL,1
9,Premier League,333,2016-2017,75979,2017-01-02 12:15:00.000,571,West Ham United,0,NULL,0
9,Premier League,333,2016-2017,75980,2017-01-14 10:00:00.000,2108,Southampton,0,NULL,0
9,Premier League,333,2016-2017,75980,2017-01-14 10:00:00.000,2199,Burnley,1,NULL,1
9,Premier League,333,2016-2017,75981,2017-01-15 08:30:00.000,573,Manchester City,0,NULL,0
9,Premier League,333,2016-2017,75981,2017-01-15 08:30:00.000,568,Everton,4,NULL,1
9,Premier League,333,2016-2017,75982,2017-01-14 15:00:00.000,2276,AFC Bournemouth,1,NULL,0
9,Premier League,333,2016-2017,75982,2017-01-14 15:00:00.000,2138,Hull City,3,NULL,1
9,Premier League,333,2016-2017,75983,2017-01-14 12:30:00.000,580,Chelsea,3,NULL,1
9,Premier League,333,2016-2017,75983,2017-01-14 12:30:00.000,2198,Leicester City,0,NULL,0
9,Premier League,333,2016-2017,75984,2017-01-15 11:00:00.000,565,Liverpool,1,NULL,2
9,Premier League,333,2016-2017,75984,2017-01-15 11:00:00.000,562,Manchester United,1,NULL,2
9,Premier League,333,2016-2017,75985,2017-01-14 15:00:00.000,578,Stoke,3,NULL,1
9,Premier League,333,2016-2017,75985,2017-01-14 15:00:00.000,575,Sunderland,1,NULL,0
9,Premier League,333,2016-2017,75986,2017-01-14 10:00:00.000,569,Arsenal,4,NULL,1
9,Premier League,333,2016-2017,75986,2017-01-14 10:00:00.000,675,Swansea,0,NULL,0
9,Premier League,333,2016-2017,75987,2017-01-14 07:30:00.000,665,West Bromwich,0,NULL,0
9,Premier League,333,2016-2017,75987,2017-01-14 07:30:00.000,564,Tottenham,4,NULL,1
9,Premier League,333,2016-2017,75988,2017-01-14 10:00:00.000,2294,Middlesbrough,0,NULL,2
9,Premier League,333,2016-2017,75988,2017-01-14 10:00:00.000,2275,Watford,0,NULL,2
9,Premier League,333,2016-2017,75989,2017-01-14 10:00:00.000,2139,Crystal Palace,0,NULL,0
9,Premier League,333,2016-2017,75989,2017-01-14 10:00:00.000,571,West Ham United,3,NULL,1
9,Premier League,333,2016-2017,75990,2017-01-21 10:00:00.000,2275,Watford,2,NULL,2
9,Premier League,333,2016-2017,75990,2017-01-21 10:00:00.000,2276,AFC Bournemouth,2,NULL,2
9,Premier League,333,2016-2017,75991,2017-01-22 09:15:00.000,2199,Burnley,1,NULL,0
9,Premier League,333,2016-2017,75991,2017-01-22 09:15:00.000,569,Arsenal,2,NULL,1
9,Premier League,333,2016-2017,75992,2017-01-22 11:30:00.000,2138,Hull City,0,NULL,0
9,Premier League,333,2016-2017,75992,2017-01-22 11:30:00.000,580,Chelsea,2,NULL,1
9,Premier League,333,2016-2017,75993,2017-01-21 10:00:00.000,568,Everton,1,NULL,1
9,Premier League,333,2016-2017,75993,2017-01-21 10:00:00.000,2139,Crystal Palace,0,NULL,0
9,Premier League,333,2016-2017,75994,2017-01-21 07:30:00.000,675,Swansea,3,NULL,1
9,Premier League,333,2016-2017,75994,2017-01-21 07:30:00.000,565,Liverpool,2,NULL,0
9,Premier League,333,2016-2017,75995,2017-01-21 12:30:00.000,564,Tottenham,2,NULL,2
9,Premier League,333,2016-2017,75995,2017-01-21 12:30:00.000,573,Manchester City,2,NULL,2
9,Premier League,333,2016-2017,75996,2017-01-22 07:00:00.000,2198,Leicester City,0,NULL,0
9,Premier League,333,2016-2017,75996,2017-01-22 07:00:00.000,2108,Southampton,3,NULL,1
9,Premier League,333,2016-2017,75997,2017-01-21 10:00:00.000,562,Manchester United,1,NULL,2
9,Premier League,333,2016-2017,75997,2017-01-21 10:00:00.000,578,Stoke,1,NULL,2
9,Premier League,333,2016-2017,75998,2017-01-21 10:00:00.000,575,Sunderland,0,NULL,0
9,Premier League,333,2016-2017,75998,2017-01-21 10:00:00.000,665,West Bromwich,2,NULL,1
9,Premier League,333,2016-2017,75999,2017-01-31 14:45:00.000,2139,Crystal Palace,2,NULL,1
9,Premier League,333,2016-2017,75999,2017-01-31 14:45:00.000,2276,AFC Bournemouth,0,NULL,0
